shortname,url,amcert,longname,description,urn,cacert,type,category,speaksfor
al2s,https://geni-al2s.net.internet2.edu:3626/foam/gapi/2,al2s.pem,Internet2 AL2S,Internet2 Advanced Layer 2 Network,urn:publicid:IDN+al2s.internet2.edu+authority+am,al2s-ca.pem,ui_other_am,ui_prod_cat ui_network_cat,N
apt,https://boss.apt.emulab.net:12369/protogeni/xmlrpc/am/2.0,apt-cm.pem,Apt,Apt,urn:publicid:IDN+apt.emulab.net+authority+cm,apt-boss.pem,ui_other_am,ui_federated_cat ui_compute_cat,Y
cenic-ig,https://instageni.cenic.net:12369/protogeni/xmlrpc/am/2.0,cenic-ig-cm.pem,CENIC InstaGENI,CENIC InstaGENI Rack,urn:publicid:IDN+instageni.cenic.net+authority+cm,cenic-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,Y
cenic-ig-of,https://foam.instageni.cenic.net:3626/foam/gapi/2,cenic-ig-of.pem,CENIC InstaGENI OpenFlow,CENIC InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.cenic.net+authority+am,cenic-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
clemson-ig,https://instageni.clemson.edu:12369/protogeni/xmlrpc/am/2.0,clemson-ig-cm.pem,Clemson InstaGENI,Clemson InstaGENI Rack,urn:publicid:IDN+instageni.clemson.edu+authority+cm,clemson-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,Y
clemson-ig-of,https://foam.instageni.clemson.edu:3626/foam/gapi/2,clemson-ig-of.pem,Clemson InstaGENI OpenFlow,Clemson InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.clemson.edu+authority+am,clemson-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
clemson-og,https://clemson-clemson-control-1.clemson.edu:5002,clemson-og.pem,Clemson OpenGENI,Clemson OpenGENI Rack,urn:publicid:IDN+clemson-clemson-control-1.clemson.edu+authority+am,clemson-og.pem,ui_other_am,ui_prod_cat ui_compute_cat,Y
colorado-ig,https://instageni.colorado.edu:12369/protogeni/xmlrpc/am/2.0,colorado-ig-cm.pem,Colorado InstaGENI,Colorado InstaGENI Rack,urn:publicid:IDN+instageni.colorado.edu+authority+cm,colorado-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,Y
colorado-ig-of,https://foam.instageni.colorado.edu:3626/foam/gapi/2,colorado-ig-of.pem,Colorado InstaGENI OpenFlow,Colorado InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.colorado.edu+authority+am,colorado-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
cwru-ig,https://geni.case.edu:12369/protogeni/xmlrpc/am/2.0,cwru-ig-cm.pem,Case Western InstaGENI,Case Western InstaGENI Rack,urn:publicid:IDN+geni.case.edu+authority+cm,cwru-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,Y
exosm,https://geni.renci.org:11443/orca/xmlrpc,exosm.pem,ExoSM,ExoSM,urn:publicid:IDN+exogeni.net+authority+am,exosm.pem,ui_exogeni_am,ui_prod_cat ui_compute_cat,Y
gatech-ig,https://instageni.rnoc.gatech.edu:12369/protogeni/xmlrpc/am/2.0,ig-gatech-cm.pem,Georgia Tech InstaGENI,InstaGENI Georgia Tech Rack,urn:publicid:IDN+instageni.rnoc.gatech.edu+authority+cm,ig-gatech-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,Y
gatech-ig-of,https://foam.instageni.rnoc.gatech.edu:3626/foam/gapi/2,ig-gatech-of.pem,Georgia Tech InstaGENI OpenFlow,InstaGENI Georgia Tech Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.rnoc.gatech.edu+authority+am,ig-gatech-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
gpo-eg,https://bbn-hn.exogeni.net:11443/orca/xmlrpc,gpo-eg.pem,GPO ExoGENI,GPO ExoGENI Rack,urn:publicid:IDN+exogeni.net:bbnvmsite+authority+am,gpo-eg.pem,ui_exogeni_am,ui_dev_cat ui_compute_cat ui_stitchable_cat,Y
gpo-eg-of,https://bbn-hn.exogeni.net:3626/foam/gapi/2,gpo-eg-of.pem,GPO ExoGENI OpenFlow,GPO ExoGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:bbn-hn.exogeni.gpolab.bbn.com+authority+am,gpo-eg-of.pem,ui_foam_am,ui_dev_cat ui_network_cat,N
gpo-og,https://bbn-cam-ctrl-1.gpolab.bbn.com:5002,gpo-og.pem,GPO OpenGENI,GPO OpenGENI Rack,urn:publicid:IDN+bbn-cam-ctrl-1.gpolab.bbn.com+authority+am,gpo-og.pem,ui_other_am,ui_prod_cat ui_compute_cat,Y
moxi-ig,https://instageni.iu.edu:12369/protogeni/xmlrpc/am/2.0,moxi-ig-cm.pem,MOXI InstaGENI,MOXI InstaGENI Rack,urn:publicid:IDN+instageni.iu.edu+authority+cm,moxi-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat,Y
moxi-ig-of,https://foam.instageni.iu.edu:3626/foam/gapi/2,moxi-ig-of.pem,MOXI InstaGENI OpenFlow,MOXI InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.iu.edu+authority+am,moxi-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
moxi-of,https://moxifoam.600wchicag.omnipop.cic.net:3626/foam/gapi/2,moxi-of.pem,MOXI OpenFlow,MOXI OpenFlow,urn:publicid:IDN+openflow:foam:moxifoam.ictc.indiana.gigapop.net+authority+am,moxi-of.pem,ui_other_am,ui_prod_cat ui_network_cat,N
nicta-eg,https://nicta-hn.exogeni.net:11443/orca/xmlrpc,nicta-eg.pem,NICTA ExoGENI,NICTA ExoGENI Rack,urn:publicid:IDN+exogeni.net:nictavmsite+authority+am,nicta-eg.pem,ui_exogeni_am,ui_federated_cat ui_compute_cat,Y
nps-ig,https://instageni.nps.edu:12369/protogeni/xmlrpc/am/2.0,nps-ig-cm.pem,NPS InstaGENI,NPS InstaGENI Rack,urn:publicid:IDN+instageni.nps.edu+authority+cm,nps-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,Y
nps-ig-of,https://foam.instageni.nps.edu:3626/foam/gapi/2,nps-ig-of.pem,NPS InstaGENI OpenFlow,NPS InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.nps.edu+authority+am,nps-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
ohmetrodc-ig,https://instageni.metrodatacenter.com:12369/protogeni/xmlrpc/am/2.0,ohmetrodc-ig-cm.pem,Ohio Metro Data Center InstaGENI,Ohio Metro Data Center InstaGENI Rack,urn:publicid:IDN+instageni.metrodatacenter.com+authority+cm,ohmetrodc-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat,Y
ohmetrodc-ig-of,https://foam.instageni.metrodatacenter.com:3626/foam/gapi/2,ohmetrodc-ig-of.pem,Ohio Metro Data Center InstaGENI OpenFlow,Ohio Metro Data Center InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.metrodatacenter.com+authority+am,ohmetrodc-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
osf-eg,https://osf-hn.exogeni.net:11443/orca/xmlrpc,osf-eg.pem,OSF ExoGENI,OSF ExoGENI Rack,urn:publicid:IDN+exogeni.net:osfvmsite+authority+am,osf-eg.pem,ui_exogeni_am,ui_prod_cat ui_compute_cat,Y
osf-eg-of,https://osf-hn.exogeni.net:3626/foam/gapi/2,osf-eg-of.pem,OSF ExoGENI OpenFlow,OSF ExoGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:osf-hn.exogeni.net+authority+am,osf-eg-of.pem,ui_foam_am,ui_experimental_cat ui_network_cat,N
princeton-ig,https://instageni.cs.princeton.edu:12369/protogeni/xmlrpc/am/2.0,princeton-ig-cm.pem,Princeton InstaGENI,Princeton InstaGENI Rack,urn:publicid:IDN+instageni.cs.princeton.edu+authority+cm,princeton-ig-boss.pem,ui_instageni_am,ui_dev_cat ui_compute_cat,Y
princeton-ig-of,https://foam.instageni.cs.princeton.edu:3626/foam/gapi/2,princeton-ig-of.pem,Princeton InstaGENI OpenFlow,Princeton InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.cs.princeton.edu+authority+am,princeton-ig-of.pem,ui_foam_am,ui_dev_cat ui_network_cat,N
renci-eg,https://rci-hn.exogeni.net:11443/orca/xmlrpc,renci-eg.pem,RENCI ExoGENI,RENCI ExoGENI Rack,urn:publicid:IDN+exogeni.net:rcivmsite+authority+am,renci-eg.pem,ui_exogeni_am,ui_dev_cat ui_compute_cat,Y
renci-eg-of,https://rci-hn.exogeni.net:3626/foam/gapi/2,renci-eg-of.pem,RENCI ExoGENI OpenFlow,RENCI ExoGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:rci-hn.exogeni.net+authority+am,renci-eg-of.pem,ui_foam_am,ui_dev_cat ui_network_cat,N
rutgers-ig,https://instageni.rutgers.edu:12369/protogeni/xmlrpc/am/2.0,rutgers-ig-cm.pem,Rutgers InstaGENI,Rutgers InstaGENI Rack,urn:publicid:IDN+instageni.rutgers.edu+authority+cm,rutgers-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,Y
rutgers-ig-of,https://foam.instageni.rutgers.edu:3626/foam/gapi/2,rutgers-ig-of.pem,Rutgers InstaGENI OpenFlow,Rutgers InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.rutgers.edu+authority+am,rutgers-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
sl-eg,https://sl-hn.exogeni.net:11443/orca/xmlrpc,sl-eg.pem,StarLight ExoGENI,StarLight ExoGENI Rack,urn:publicid:IDN+exogeni.net:slvmsite+authority+am,sl-eg.pem,ui_exogeni_am,ui_prod_cat ui_compute_cat,Y
sl-eg-of,https://sl-hn.exogeni.net:3626/foam/gapi/2,sl-eg-of.pem,StarLight ExoGENI OpenFlow,StarLight ExoGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:sl-hn.exogeni.net+authority+am,sl-eg-of.pem,ui_foam_am,ui_experimental_cat ui_network_cat,N
sox-ig,https://instageni.sox.net:12369/protogeni/xmlrpc/am/2.0,sox-ig-cm.pem,SoX InstaGENI,SoX InstaGENI Rack,urn:publicid:IDN+instageni.sox.net+authority+cm,sox-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,Y
sox-ig-of,https://foam.instageni.sox.net:3626/foam/gapi/2,sox-ig-of.pem,SoX InstaGENI OpenFlow,SoX InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.sox.net+authority+am,sox-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
